"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.663953625E0,-1.176197007E-1,1.125239015E0,-8.224815130E-2
1.673963625E0,-9.605289251E-2,1.052885413E0,-6.428352743E-2
1.683942625E0,1.253138483E-1,6.533559561E-1,-6.455525011E-2
1.693952625E0,1.881522089E-1,4.231237769E-1,-1.602828503E-1
1.703961625E0,3.767694533E-2,5.234525204E-1,-3.900406659E-1
1.713941625E0,-7.964042947E-3,9.440916181E-1,-5.772702098E-1
1.723950625E0,-2.317063212E-1,9.596407413E-1,-5.003200173E-1
1.733960625E0,-5.589438677E-1,1.107785702E0,-7.909966111E-1
1.743939625E0,-4.029970467E-1,1.873371124E0,-1.068325758E0
1.753949625E0,-6.738818288E-1,2.116160631E0,-7.244752049E-1
1.763959625E0,-9.746916294E-1,2.259532452E0,4.040966928E-2
1.773938625E0,-1.005059004E0,3.145599365E0,5.184742212E-1
1.783948625E0,-7.848123908E-1,3.922649860E0,7.032788992E-1
1.793958625E0,-5.634486079E-1,2.878316879E0,1.060507298E0
1.803937625E0,-3.412996531E-1,2.079875708E0,1.288179278E0
1.813947625E0,1.686237752E-1,1.429891825E0,1.318924189E0
1.823957625E0,6.027393937E-1,6.396567225E-1,1.276285648E0
1.833936625E0,3.504168689E-1,-3.923972845E-1,9.273508787E-1
1.843946625E0,-4.248023331E-1,-2.226505518E0,2.781627774E-1
1.853955625E0,-2.647394240E-1,-3.261280537E0,-3.520407379E-1
1.863965625E0,1.147193074E0,-1.825330019E0,-3.547370732E-1
1.873944625E0,1.144938350E0,2.218986034E0,-1.122712493E0
1.883954625E0,-1.876992226E0,1.435713649E0,-5.715124607E-1
1.893964625E0,-3.121904850E0,4.853404164E-1,-3.352352083E-1
1.903943625E0,-3.324022532E0,9.282381535E-1,-1.803113669E-1
1.913953625E0,-3.459285975E0,1.043690562E0,-1.004655436E-1
1.923963625E0,-2.951756239E0,9.184012413E-1,-8.165130019E-2
1.933942625E0,-2.062139988E0,6.386241913E-1,-6.575755775E-2
1.943952625E0,-9.294083714E-1,3.247280121E-1,-5.292740464E-2
1.953961625E0,3.271922171E-1,1.393941045E-1,-1.522343606E-2
1.963941625E0,1.489848614E0,-1.627477631E-2,-4.056442529E-2
1.973950625E0,2.472788334E0,-3.954913318E-1,-2.310443521E-1
1.983960625E0,3.093447208E0,-3.833390474E-1,-2.044284642E-1
1.993939625E0,3.143060446E0,-1.104691848E-1,-2.562234700E-1
2.003949625E0,2.854602814E0,-2.494032979E-1,-2.580995560E-1
2.013959625E0,1.923038125E0,-4.433138967E-1,1.449200511E-1
2.023938625E0,7.447818518E-1,-4.771802127E-1,2.266150713E-1
2.033948625E0,1.147786528E-1,-3.918157816E-1,2.523870170E-1
2.043958625E0,-3.161633015E-1,-2.188048959E-1,2.721038461E-1
2.053937625E0,-4.068916142E-1,-1.276121438E-1,3.168926239E-1
2.063947625E0,-2.090132236E-1,-1.819501817E-1,2.851671875E-1
2.073957625E0,-1.009591818E-1,-1.195778847E-1,2.616863549E-1
2.083966625E0,-4.002706707E-2,-1.059102565E-1,2.381061167E-1
2.093946625E0,1.191682369E-2,-1.233638152E-1,2.186293602E-1
2.103955625E0,-6.299130619E-3,-1.230175197E-1,1.883706301E-1
2.113965625E0,-7.986868918E-2,-1.281704754E-1,1.500104666E-1
2.123944625E0,-1.550737619E-1,-1.391768605E-1,9.979777783E-2
2.133954625E0,-1.658867300E-1,-1.126781479E-1,3.878209367E-2
2.143964625E0,-6.192430854E-2,1.513822004E-2,-3.323233500E-2
2.153943625E0,7.308757305E-2,1.956933588E-1,-1.070636809E-1
2.163953625E0,1.501023918E-1,3.317193389E-1,-1.568330228E-1
2.173963625E0,9.670149535E-2,3.354941010E-1,-1.729850918E-1
2.183942625E0,-8.969841152E-2,2.224589288E-1,-1.547899246E-1
2.193952625E0,-2.990170121E-1,1.349636912E-1,-1.062037498E-1
2.203961625E0,-4.067423344E-1,1.953339130E-1,-1.892572083E-2
2.213941625E0,-4.094001949E-1,4.068437517E-1,1.171730012E-1
2.223950625E0,-3.933098316E-1,5.616701245E-1,2.938153446E-1
2.233960625E0,-3.791740239E-1,6.151427031E-1,4.617974162E-1
2.243939625E0,-3.269813955E-1,6.859731674E-1,6.219122410E-1
2.253949625E0,-2.331877947E-1,7.981588244E-1,7.771673203E-1
2.263959625E0,-1.402914822E-1,9.411566257E-1,9.019094706E-1
2.273969625E0,-1.006729752E-1,1.002429485E0,1.011311531E0
2.283948625E0,-1.370333433E-1,9.701461196E-1,1.047089100E0
2.293958625E0,-2.449848354E-1,9.455031157E-1,1.014325857E0
2.303968625E0,-3.525192440E-1,9.043118954E-1,9.704532027E-1
2.313926750E0,-3.489447534E-1,8.289955854E-1,9.054334164E-1
2.323936750E0,-2.691601515E-1,7.456715703E-1,7.961992025E-1
2.333945750E0,-2.488250434E-1,5.857767463E-1,6.191669106E-1
2.343925750E0,-2.741295397E-1,4.308542907E-1,4.810987115E-1
2.353934750E0,-2.590557933E-1,3.027825952E-1,3.977673352E-1
2.363944750E0,-2.253646404E-1,1.845895201E-1,3.544134796E-1
2.373923750E0,-2.148805708E-1,1.141009703E-1,3.421410918E-1
2.383933750E0,-2.280208766E-1,1.131124571E-1,3.435990810E-1
2.393943750E0,-2.904608250E-1,1.591966003E-1,3.330346048E-1
2.403922750E0,-3.530376256E-1,3.038296700E-1,3.525369167E-1
2.413932750E0,-3.751954138E-1,4.356939793E-1,3.990024328E-1
2.423942750E0,-3.675563335E-1,4.666266441E-1,4.446184933E-1
2.433921750E0,-3.666886687E-1,4.502522051E-1,4.750552475E-1
2.443931750E0,-3.370454907E-1,4.563189149E-1,5.167520046E-1
2.453940750E0,-3.362617195E-1,4.539351165E-1,4.488478005E-1
2.463920750E0,-3.477651477E-1,4.623347223E-1,4.032675624E-1
2.473929750E0,-3.711871207E-1,4.888432920E-1,3.592170179E-1
2.483939750E0,-4.054446518E-1,4.829546809E-1,2.964544892E-1
2.493949750E0,-4.494462013E-1,4.270408154E-1,2.174488902E-1
2.503928750E0,-4.596393108E-1,3.852463365E-1,1.598362327E-1
2.513938750E0,-4.297738373E-1,3.980305791E-1,1.234207004E-1
2.523948750E0,-3.911311328E-1,4.354504645E-1,9.618569165E-2
2.533927750E0,-3.706929684E-1,4.615182877E-1,7.117115706E-2
2.543937750E0,-4.046713114E-1,4.388421476E-1,7.019088417E-2
2.553947750E0,-4.892698228E-1,3.903891146E-1,5.251015723E-2
2.563926750E0,-5.880408287E-1,3.215344548E-1,3.678863868E-2
2.573936750E0,-6.842864752E-1,2.150828540E-1,5.442965776E-3
2.583945750E0,-7.480931282E-1,1.229281053E-1,-3.498506919E-2
2.593925750E0,-7.425407171E-1,1.075203866E-1,-5.482881516E-2
2.603934750E0,-6.851919889E-1,1.777893454E-1,-6.664093584E-2
2.613944750E0,-6.132581830E-1,2.667970061E-1,-6.231995299E-2
2.623923750E0,-5.552639961E-1,3.207911849E-1,-6.453991681E-2
2.633933750E0,-5.158632994E-1,3.649573326E-1,-7.800699770E-2
2.643943750E0,-4.870539904E-1,4.741021395E-1,-8.019972593E-2
2.653922750E0,-4.511423111E-1,6.041198373E-1,-6.745463610E-2
2.663932750E0,-4.149663150E-1,6.691657305E-1,-9.324011952E-2
2.673942750E0,-3.915307820E-1,7.397773266E-1,-9.813021868E-2
2.683951750E0,-3.804199696E-1,8.159894943E-1,-8.391921222E-2
2.693931750E0,-3.764918149E-1,8.505160213E-1,-7.093656808E-2
2.703940750E0,-3.392767012E-1,8.449319601E-1,-3.160989657E-2
2.713950750E0,-2.916361988E-1,7.515316606E-1,2.328424528E-2
2.723929750E0,-2.551505268E-1,6.254075170E-1,8.201044798E-2
2.733939750E0,-2.276118398E-1,5.155619979E-1,1.335529983E-1
2.743949750E0,-1.807112098E-1,4.393104017E-1,1.864059865E-1
2.753928750E0,-9.158880264E-2,4.085000157E-1,2.350504845E-1
2.763938750E0,3.771439195E-2,4.414686859E-1,2.799195349E-1
2.773948750E0,1.789045483E-1,5.059001446E-1,3.046360612E-1
2.783927750E0,2.607897520E-1,4.808158278E-1,3.033554256E-1
2.793937750E0,2.493354976E-1,3.797307611E-1,2.839460373E-1
2.803947750E0,1.889286786E-1,2.703126669E-1,2.739532590E-1
2.813926750E0,1.243960261E-1,1.606594175E-1,2.789890170E-1
2.823936750E0,9.811316431E-2,5.553635210E-2,2.920022607E-1
2.833945750E0,1.471827030E-1,-2.257469296E-2,2.918704450E-1
2.843925750E0,2.762152553E-1,-8.826049417E-2,2.932630181E-1
2.853934750E0,4.516179562E-1,-1.113977730E-1,2.469943017E-1
