,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
9709,49.331056,-0.6320692300999999,-15.09783554,-2.118868589
9710,49.336,-1.771709204,-14.7889843,-2.650381327
9711,49.340944,-2.6862943169999998,-14.35323906,-3.34469986
9712,49.34601,-3.483563423,-13.66610336,-4.000710964
9713,49.350953,-4.659116745,-13.13459015,-5.111620426
9714,49.355958,-5.94959116,-12.99333286,-5.339069843
9715,49.361024,-6.10042572,-12.51449203,-3.6894648080000003
9716,49.366029,-6.449979305,-12.20563984,-1.81959331
9717,49.371034,-6.160281181,-11.46104336,-1.110909581
9718,49.377015,-4.721365929,-10.19690514,-0.9002198576999999
9719,49.38202,-3.579331636,-9.732429504,-0.7110779285
9720,49.387025,-2.892195702,-9.536105156,-0.3519476354
9721,49.391969,-2.209848166,-9.222464561,0.0287304204
9722,49.397035,-1.8650830980000002,-9.17697525,0.2202665508
9723,49.40204,-1.738190413,-9.107542992,-0.04309562966
9724,49.407045,-1.067813993,-9.17697525,-0.39504328369999997
9725,49.413026,-0.1508347094,-8.518569946,-1.7453730109999999
9726,49.418031,-0.009576806799,-8.626308441,-2.226607561
9727,49.424012,0.13168109949999998,-8.851364136,-2.281674147
9728,49.429017,0.349553436,-8.923190117,-2.56897831
9729,49.434022,0.586579442,-8.753201485,-3.2704794410000004
9730,49.439027,0.7422025204000001,-8.63109684,-4.031835556
9731,49.444032,0.55784899,-8.607154846,-4.57531929
9732,49.450013,0.36152446270000005,-8.54251194,-4.333505154
9733,49.455018,0.2418143749,-8.530540466,-3.7780501839999996
9734,49.461,0.1029506698,-8.597578049,-3.069366693
9735,49.466004,0.1340752989,-8.564059258,-2.456450939
9736,49.471009,0.1915361285,-8.494627953,-1.915361404
9737,49.476014,0.3399766386,-8.633491516,-1.26653266
9738,49.481019,0.6392518282,-8.66940403,-1.094150186
9739,49.485963,0.6823474765,-8.609549522,-0.9121908545
9740,49.491029,0.6847416759,-8.434772491,-0.8116343617
9741,49.496034,0.7302315235,-8.204929352,-0.9050082564
9742,49.500855,0.6081272364,-7.848193169,-0.8690952062999999
9743,49.506043,0.55784899,-7.7141180039999995,-0.7924807668000001
9744,49.510987,0.5698199868,-7.508216381,-0.7541735172
9745,49.516053,0.6009446383,-7.345410824,-0.8523358107
9746,49.521058,0.7015010715000001,-7.16824007,-0.9792284966
9747,49.526002,0.8475474118999999,-7.055712223,-1.125274777
9748,49.531007,1.012747288,-6.974309444,-1.398213744
9749,49.53595,1.1971008779999999,-6.921637058,-1.7453730109999999
9750,49.541016,1.367089152,-6.868964672000001,-2.08295536
9751,49.547059,1.541865945,-6.8234748839999995,-2.439691544
9752,49.552003,1.6256629230000001,-6.825869083,-2.703053713
9753,49.557008,1.6089035269999998,-6.710947514,-3.098097086
9754,49.562012,1.59932673,-6.6654577260000005,-3.3854012489999996
9755,49.567017,1.508347034,-6.5816602710000005,-3.629609823
9756,49.572022,1.22822547,-6.414066315,-4.000710964
9757,49.577027,0.9504981041,-6.303933144,-3.9169139860000004
9758,49.582032,0.5650315881,-6.200982571,-3.6080620289999996
9759,49.588013,0.2681505978,-6.327875137,-3.9695863719999998
9760,49.593018,-0.08858546615,-6.327875137,-4.01747036
9761,49.598023,-0.7852981687,-6.347028732,-3.924096584
9762,49.603028,-1.55862534,-6.308721542000001,-3.912125587
9763,49.607972,-2.1140801909999998,-6.366182327000001,-4.01507616
9764,49.613038,-2.590526342,-6.397306919,-4.213795185
9765,49.618043,-3.12203908,-6.323086739,-4.67827034
9766,49.623047,-3.409343243,-6.016628742000001,-5.434837817999999
9767,49.627991,-3.366247654,-6.143521786,-5.233725071
9768,49.632996,-3.811569214,-6.533776283,-4.663905144
9769,49.63794,-3.9624037739999998,-6.732495308,-3.9743747710000004
9770,49.643006,-3.950432777,-7.184999466,-3.208230257
9771,49.648011,-3.8642416,-7.453149796,-2.79163909
9772,49.653016,-3.823540211,-7.898471355,-2.1643583769999997
9773,49.65802,-3.430891037,-8.341399192999999,-2.166752577
9774,49.663025,-3.3854012489999996,-8.688557625,-2.839523315
9775,49.66803,-3.512293816,-9.277531624,-3.6128504280000002
9776,49.673035,-2.9975404739999996,-9.883264542000001,-3.928884983
9777,49.67804,-2.2984335419999997,-10.29746151,-3.8857893939999997
9778,49.683045,-1.6663644309999999,-10.56561184,-4.110844135
9779,49.68805,-0.9983820915,-10.83136845,-4.295197964
9780,49.693055,-0.316034615,-11.02769279,-4.290409565
9781,49.698059,0.047884032130000004,-11.13303757,-4.42209053
9782,49.703003,0.2585737705,-10.92234802,-4.8554410930000005
9783,49.708008,0.19393034280000002,-10.723629,-5.7532668110000005
9784,49.713013,0.03112462163,-10.47702694,-6.758831501
9785,49.718018,-0.1771709323,-10.16338634,-7.735665797999999
9786,49.723999,-1.15400517,-9.935936928,-8.918401718
9787,49.729004,-2.059013367,-10.0556469,-9.308655738999999
9788,49.734009,-2.669534922,-10.44350815,-8.908824921
9789,49.739014,-2.980781078,-10.82897472,-8.051700592000001
9790,49.744019,-3.361459255,-11.36767006,-6.325480937999999
9791,49.749024,-3.936067581,-12.37084007,-4.326322556
9792,49.754029,-4.697423935,-13.48653793,-2.056619167
9793,49.758911,-5.568912983,-15.88074017,0.8116343617
9794,49.764038,-5.68383503,-16.80729675,1.580173135
9795,49.769043,-5.525817394,-18.6388607,2.817975283
9796,49.774048,-4.589684486,-20.01073837,3.584120035
9797,49.779053,-1.8148049119999998,-19.77610588,3.768473387
9798,49.784058,0.4381389022,-17.72188187,2.5210943219999997
9799,49.789002,1.841141105,-14.91827106,0.02394201607
9800,49.794006,2.3295583719999997,-12.51209831,-3.213018656
9801,49.799011,2.11647439,-10.40520096,-6.461950302000001
9802,49.804016,1.989581585,-8.336610794,-8.36294651
