"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.938187958E0,1.426084442E0,-9.765692139E0,5.059478760E-2
1.948197958E0,1.522184601E0,-9.639205170E0,1.062789917E-1
1.958176958E0,1.336570587E0,-6.424340515E0,-2.531236267E-1
1.968156958E0,-3.101550293E-1,5.093607788E0,1.010847931E0
1.978165958E0,2.256407776E0,-1.974693604E0,-6.843768311E-1
1.988145958E0,3.921994171E0,-7.059769135E0,1.048270111E0
1.998124958E0,2.794987793E0,-8.618777161E0,1.811383209E0
2.008134958E0,1.664837952E0,-1.095736404E1,1.090182953E0
2.018113958E0,4.531077576E-1,-1.089045319E1,2.160008240E-1
2.028092958E0,8.378077698E-1,-9.101074219E0,1.996847534E-1
2.038102958E0,1.457818451E0,-4.366419983E0,8.173004150E-1
2.048081958E0,2.078727264E0,-2.502496033E0,1.628313904E0
2.058061958E0,3.361260223E0,-3.303929443E0,1.631906433E0
2.068070958E0,4.511618042E0,-4.109703827E0,3.913012848E0
2.078050958E0,2.826422424E0,-9.908944244E0,-1.077160034E0
2.088029958E0,2.345322876E0,-1.843042374E1,-4.095333710E0
2.098039958E0,2.436333618E0,-2.170291855E1,-3.102149048E0
2.108018958E0,3.544778595E0,-1.652054535E1,2.643802185E0
2.117997958E0,2.875071259E0,-9.274264069E0,2.076481934E0
2.128007958E0,1.864522705E0,-1.021655457E1,3.040177917E-1
2.137986958E0,2.226619720E0,-1.048853897E1,4.373904419E-1
2.147965958E0,2.682122498E0,-8.998238068E0,1.644180908E0
2.157975958E0,2.064955902E0,-1.101679047E1,9.107061768E-1
2.167954958E0,1.766626282E0,-1.182391205E1,1.169967041E0
2.177934958E0,2.829715576E0,-1.249766098E1,9.098080444E-1
2.187943958E0,3.887715454E0,-1.267429367E1,7.496411133E-1
2.197923958E0,3.791914673E0,-1.171149582E1,1.145867157E0
2.207902958E0,3.854185181E0,-1.250783981E1,1.512754211E0
2.217912958E0,3.403771820E0,-1.115285751E1,1.439556427E0
2.227891958E0,4.099674683E0,-1.515643204E1,2.336640930E0
2.237870958E0,4.865332489E0,-1.644854507E1,-1.403780823E0
2.247880958E0,2.075134735E0,-1.259555740E1,-2.774181061E0
2.257859958E0,2.339035950E0,-1.024080414E1,-1.493294678E0
2.267838958E0,2.488874359E0,-8.230035553E0,9.436376953E-1
2.277848958E0,2.940185852E0,-7.433990936E0,1.599873047E0
2.287827958E0,2.865790558E0,-7.369325409E0,1.589394836E0
2.297807958E0,2.448458405E0,-7.124434662E0,1.400487671E0
2.307786958E0,2.135010223E0,-8.177345123E0,1.408271484E0
2.317796958E0,1.687440948E0,-9.213340759E0,9.303153992E-1
2.327775958E0,1.276246033E0,-8.913214874E0,7.578739929E-1
2.337754958E0,1.061742096E0,-9.426048431E0,2.800675964E-1
2.347764958E0,9.066645813E-1,-1.025861710E1,8.663983154E-1
2.357743958E0,8.138575745E-1,-1.013138168E1,1.361867981E0
2.367722958E0,7.682025146E-1,-1.176238998E1,1.378333740E0
2.377732958E0,6.794371033E-1,-1.177361664E1,1.470092926E0
2.387711958E0,3.802093506E-1,-9.861941986E0,2.780018921E0
2.397691958E0,1.596280518E0,-1.113953522E1,1.074914703E0
2.407700958E0,1.418600006E0,-1.164982407E1,-1.867516479E0
2.417680958E0,-9.032217407E-1,-8.728498993E0,2.630030823E-1
2.427659958E0,1.496887207E-3,-8.635691986E0,2.762655029E0
2.437669958E0,1.395248566E0,-7.153174896E0,1.096170502E0
2.447648958E0,1.831441498E0,-8.099506989E0,-4.020639038E-1
2.457627958E0,1.979483643E0,-8.919052734E0,1.965412903E-1
2.467637958E0,1.874701538E0,-9.193282471E0,4.718188477E-1
2.477616958E0,1.549128571E0,-9.317374420E0,5.632786560E-1
2.487595958E0,1.238075409E0,-9.589508514E0,8.818162537E-1
2.497605958E0,1.124611359E0,-9.864337006E0,1.201401672E0
2.507584958E0,1.239572296E0,-9.977052612E0,1.297950897E0
2.517564958E0,1.440454559E0,-1.002255798E1,1.260828094E0
2.527573958E0,1.691931610E0,-9.969568176E0,1.314566345E0
2.537553958E0,1.986968079E0,-9.868079224E0,1.390458527E0
2.547532958E0,2.357896729E0,-9.718839569E0,1.427731018E0
2.557542958E0,2.771486664E0,-9.634864197E0,1.524579620E0
2.567521958E0,3.326233063E0,-9.579928436E0,1.558259583E0
2.577500958E0,3.929029541E0,-9.512119446E0,1.654060364E0
2.587510958E0,4.526287537E0,-9.547595673E0,1.627415771E0
2.597489958E0,5.147645416E0,-9.566157074E0,1.646725616E0
2.607468958E0,5.826334076E0,-9.520651703E0,1.619182892E0
2.617478958E0,6.297853546E0,-9.497150574E0,1.558409271E0
2.627457958E0,6.433621216E0,-9.321865082E0,1.415306854E0
2.637437958E0,6.451583862E0,-8.908724213E0,1.480122070E0
2.647453208E0,6.280938721E0,-8.411607971E0,1.744023285E0
2.657432208E0,5.948929138E0,-7.926915894E0,1.890568542E0
2.667411208E0,5.475314026E0,-7.641908569E0,2.046993256E0
2.677390208E0,4.893174591E0,-7.496411133E0,2.198777618E0
2.687400208E0,4.361031189E0,-7.707621918E0,2.345173187E0
2.697379208E0,3.725602570E0,-8.077802124E0,2.447410583E0
2.707359208E0,3.152743835E0,-8.544830933E0,2.561323700E0
