,Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
10073,100.8016763,1.373543701,-9.597292328,4.745581512
10074,100.8116833,2.16928894,-8.879534912,4.647685088999999
10075,100.8216913,2.9094996639999997,-7.9303587339999995,4.23574173
10076,100.8316983,3.139271851,-6.806196442,3.5238221739999998
10077,100.8417063,2.890489197,-6.420448607999999,2.61281662
10078,100.85171329999999,2.058369598,-6.714886322000001,1.7473164369999998
10079,100.8617213,1.133143616,-7.177723846,1.6179853819999999
10080,100.87172829999999,0.5800437927000001,-7.69564682,1.951342163
10081,100.8817363,0.2186952209,-8.296197968,2.14833252
10082,100.8917441,-0.1371148682,-9.141190796,2.160307617
10083,100.9017511,-0.902024231,-10.48853897,1.927391968
10084,100.91175909999998,-2.064357147,-12.2452858,1.4482383730000001
10085,100.9217661,-3.531905365,-14.06235718,1.083596649
10086,100.9317741,-5.0620234680000005,-15.8948465,1.080153809
10087,100.9417811,-6.2798909,-17.32452347,1.4090199280000002
10088,100.9517891,-6.614295502,-17.94902481,1.910177765
10089,100.96179609999999,-5.304519196,-17.24503876,1.5792160030000002
10090,100.9718041,-4.111051025,-16.84746552,0.7640112305
10091,100.98181109999999,-3.0436207580000003,-16.40872787,0.3017724609
10092,100.9918191,-1.7145346069999998,-15.58184738,0.5378315735
10093,101.0018271,-0.05718109131,-14.26967606,1.238973541
10094,101.01183409999999,1.1117381290000001,-13.00824921,1.708846436
10095,101.0218421,1.73174881,-12.10532684,1.699266357
10096,101.03184909999999,2.6348208619999998,-11.65162033,0.6737489319
10097,101.0418571,3.495231628,-11.38053406,-1.538051605
10098,101.05186409999999,4.752317505,-10.64571213,-4.720882874
10099,101.06187209999999,5.688470764,-8.87279892,-5.4817506410000005
10100,101.0718791,6.0842477420000005,-7.141798552999999,-3.5862423710000004
10101,101.08188709999999,6.004463653999999,-6.053561554,-2.050585785
10102,101.0918941,4.777016144,-5.870941315,-1.4419514469999999
10103,101.10190209999999,2.48992218,-6.5457380679999995,-0.42541534420000005
10104,101.11190909999999,1.008153534,-7.128775635,1.159638519
10105,101.12191709999999,0.20672012329999997,-7.313341827,2.409838715
10106,101.13192509999999,-0.22767654420000003,-7.3202275089999995,3.649560699
10107,101.1419321,-0.2685415649,-7.306456146,5.1690509030000005
10108,101.15194009999999,-0.3285667419,-7.28969101,6.534062347000001
10109,101.16194709999999,-0.7940986633,-7.301217041,7.112010497999999
10110,101.17195509999999,-1.549877014,-7.234306182999999,7.085515593999999
10111,101.18196209999999,-2.260299683,-7.172035675,6.606511687999999
10112,101.19197009999999,-2.6878106689999997,-7.2395452879999995,5.126688995
10113,101.2019771,-2.63856308,-7.545209656,2.758314056
10114,101.21198509999999,-2.003882904,-8.120164032,0.3561094666
10115,101.22199309999999,-1.205443268,-8.764424286,-0.3225791931
10116,101.2320001,-0.6224057007,-8.830137634,0.01945953369
10117,101.24200809999999,-0.08143066406,-8.702453156,1.033001862
10118,101.2520151,0.20657043460000002,-8.393795013,2.107467499
10119,101.2620231,0.38993911740000003,-8.037984924,2.924318848
10120,101.2720301,0.4896318054,-7.7697427370000005,3.449576569
10121,101.2820381,0.6011499023,-7.612419891,3.6983592219999997
10122,101.29204509999998,0.8340655518000001,-7.552993469,3.8628671260000003
10123,101.3020531,1.20873642,-7.514074402,4.0023770139999995
10124,101.3120601,1.7950671390000001,-7.597750397,4.084107056000001
