,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
14274,72.650999,-1.41257906,-8.425195694,-2.173935175
14275,72.656004,-1.742978811,-8.080430984,-2.396595955
14276,72.661009,-1.996764183,-7.644686222000001,-2.6216509340000003
14277,72.666014,-2.097320795,-7.20894146,-2.944868088
14278,72.671995,-2.224213362,-6.792350292,-3.351882458
14279,72.677,-2.30561614,-6.461950302000001,-3.687070608
14280,72.682005,-2.245761156,-6.272808552000001,-3.9647979739999997
14281,72.68701,-2.226607561,-6.02381134,-4.213795185
14282,72.692015,-2.279279947,-5.710171223,-4.6255974769999995
14283,72.69702,-2.238578558,-5.676652431,-4.711789131000001
14284,72.701903,-2.195482969,-5.6958060260000005,-4.551377296
14285,72.706908,-2.188300371,-5.841852188,-4.113238335
14286,72.711973,-2.0925323959999997,-6.112396717,-3.6343982219999997
14287,72.718016,-2.051830769,-6.449979305,-3.335123062
14288,72.723021,-2.0207061769999997,-6.794744492,-3.3590650560000004
14289,72.727965,-1.953668594,-7.216124057999999,-3.672705412
14290,72.732969,-1.802833915,-7.864952564,-4.079719543
14291,72.737974,-1.577778935,-8.372523308,-4.484339714
14292,72.744017,-1.1492167709999999,-9.045293808,-4.86741209
14293,72.749022,-0.653617084,-9.643844604,-5.195417881
14294,72.755003,0.007182605098999999,-10.19929886,-5.700594425
14295,72.759947,0.3758896589,-10.47702694,-6.042964935
14296,72.764954,0.6991068720999999,-10.51293945,-6.339846134
14297,72.77002,0.8403648137999999,-10.26873112,-6.720524311
14298,72.774964,0.7757213712000001,-9.83777523,-7.082048416
14299,72.779969,0.3806780577,-8.937555312999999,-7.307103634
14300,72.784974,-0.13168109949999998,-8.183381081,-7.261613846
14301,72.789979,-0.7278373241,-7.584830761,-7.012616634
14302,72.794984,-1.074996591,-7.252037047999999,-6.461950302000001
14303,72.799988,-1.3694833519999998,-7.194576262999999,-6.0357823370000006
14304,72.804993,-1.632845521,-7.395689011,-5.717353821000001
14305,72.809998,-1.9345149990000001,-7.850587367999999,-5.260061264
14306,72.815003,-2.291250944,-8.815450667999999,-4.960785866
14307,72.820008,-2.432508945,-9.782708168,-4.845864296
14308,72.825013,-2.365471363,-10.87446404,-4.687847136999999
14309,72.830018,-2.133233786,-11.9662199,-4.204218388
14310,72.835023,-1.879448295,-12.96460247,-3.2752678389999996
14311,72.839966,-1.59693253,-13.81215,-2.015917778
14312,72.844971,-1.177947283,-14.38915253,-0.5889736414
14313,72.851014,-0.6847416759,-14.91827106,0.141257897
14314,72.856019,-0.323217243,-15.16008472,0.38546648619999996
14315,72.860962,0.107739076,-15.31091976,0.10055647050000001
14316,72.865784,0.5817909836999999,-15.63653088,-0.2801215947
14317,72.870972,0.6943184733,-15.7610302,-0.33758243920000003
14318,72.877015,0.9504981041,-16.03396797,-0.6943184733
14319,72.882019,1.273715258,-16.11058235,-1.517923832
14320,72.887024,1.7932571169999998,-15.99087334,-2.2840683459999997
14321,72.891968,2.2840683459999997,-15.96214294,-2.741360903
14322,72.896912,2.6647465230000003,-16.16325569,-2.7437551019999997
14323,72.901917,2.863465309,-16.43379974,-2.60010314
14324,72.906983,3.114856482,-16.71631622,-2.348711967
14325,72.911927,3.27287364,-17.09220505,-1.7357962130000002
14326,72.917969,2.9592332839999997,-17.4896431,-0.9959878922
14327,72.922974,2.087743998,-17.6668148,-0.6895300745999999
14328,72.927918,0.8714894056,-17.58780479,-0.7326257229
14329,72.934021,-0.6009446383,-17.11614799,-1.22583127
14330,72.938965,-1.467645645,-16.60857773,-1.8602947
