,Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
10885,108.92860139999999,-0.3183879089,-10.64780777,1.893712006
10886,108.9386094,-0.959355011,-10.68073929,2.3089485169999997
10887,108.9486164,-1.652862854,-10.29693741,2.6189538569999997
10888,108.95862340000002,-2.187401276,-9.695787506,3.183879089
10889,108.9686314,-2.193987579,-9.194779358,3.268453217
10890,108.97863840000001,-2.292782135,-8.745713196,2.998115387
10891,108.98864540000001,-2.3552023319999997,-8.517138519,2.447260895
10892,108.9986524,-2.055076447,-8.587641907,1.699266357
10893,109.00866040000001,-1.304986267,-9.022936707000001,1.060544586
10894,109.01866740000001,-0.5135820007,-9.480984192000001,0.808768158
10895,109.0286744,-0.05194198608,-9.451495514,1.046174469
10896,109.0386824,0.07559280396000001,-9.126970367,1.661993866
10897,109.04868940000001,-0.026345214840000002,-8.870553589,2.072739716
10898,109.05869640000002,-0.2977308655,-8.690627747,2.520907745
10899,109.0687044,-0.6837780762000001,-8.556955719,2.778671722
10900,109.0787114,-0.8053253173999999,-8.548423462,2.77073822
10901,109.08871840000002,-0.8015830993999999,-8.674161987,2.7541227719999997
10902,109.09872639999999,-0.6505471802,-8.954978027000001,2.7887008669999998
10903,109.1087334,-0.1342707825,-9.298813018999999,2.551144867
10904,109.11874040000001,0.4543052673,-9.682614898999999,2.113754425
10905,109.12874840000002,1.002914429,-10.03183868,1.5792160030000002
10906,109.1387554,1.4200968930000002,-10.34663406,1.040785675
10907,109.14876240000001,1.612446899,-10.50500473,0.6295907593
10908,109.15877040000001,1.610500946,-10.60290115,0.3659889221
10909,109.1687774,1.3971945190000001,-10.4934787,0.24923172
10910,109.1787844,1.100661163,-10.25412643,0.2957849121
10911,109.18879140000001,0.8801696777,-10.01761826,0.5577401733
10912,109.1987994,0.7252418518000001,-9.852960663,1.0975177
10913,109.2088064,0.60025177,-9.685908051,1.655108185
10914,109.2188134,0.5852828979,-9.495653687,1.992356873
10915,109.22882140000002,0.5616320801,-9.219028931,2.099683685
10916,109.2388284,0.4902305603,-9.014254761,2.082918549
10917,109.2488354,0.5131329346,-8.972940674,1.9636166380000002
10918,109.25884340000002,0.03562591553,-9.019493866,2.394869843
10919,109.26885039999999,-0.2088157654,-9.125772858,2.612966309
10920,109.2788574,-0.3324586487,-9.241182861,2.531685333
10921,109.2888654,-0.34323623659999997,-9.348060607999999,2.265838165
10922,109.29887240000002,-0.3351530457,-9.459129639,2.1760249330000003
10923,109.3088794,-0.2550695801,-9.547146606,2.1953347780000003
10924,109.31888740000001,-0.1429527283,-9.619595947,2.424508209
10925,109.3288946,-0.003592529297,-9.682764587000001,2.7840605160000003
10926,109.33890159999999,0.055534515379999996,-9.599687347,2.987038422
10927,109.34890959999998,0.00014968872069999998,-9.419611816,2.935246124
10928,109.3589166,-0.09684860229,-9.173224182,2.711910553
10929,109.3689236,-0.23980133059999997,-8.908275146,2.469414825
10930,109.37893059999999,-0.3689826965,-8.703800354,2.41507782
10931,109.38893859999999,-0.41044647219999997,-8.662336578,2.576442261
10932,109.3989456,-0.3053649902,-8.735534363,2.65727417
10933,109.40895259999998,-0.20222946170000003,-8.744515686,2.715952148
10934,109.41896059999999,-0.07798782349,-8.960067444,2.969375153
10935,109.4289676,0.12124786380000001,-9.271569672,3.0717622380000003
