"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.444462875E0,4.803717732E-1,-7.931326032E-1,1.857129857E-2
1.454407875E0,4.676610827E-1,-1.130738616E0,2.499073744E-2
1.464351875E0,4.118579924E-1,-1.242988825E0,-3.276690841E-4
1.474296875E0,3.375435770E-1,-1.119938493E0,-5.951292813E-3
1.484241875E0,2.856233716E-1,-8.626811504E-1,3.227438778E-2
1.494185875E0,2.422413230E-1,-5.890996456E-1,8.950986713E-2
1.504130875E0,1.823857129E-1,-3.354956210E-1,1.123565957E-1
1.514075875E0,1.696415804E-2,1.679553092E-1,1.043638773E-2
1.524019875E0,-1.477313191E-1,9.237497449E-1,-1.596698314E-1
1.533964875E0,-2.326863408E-1,1.551552773E0,-2.648114860E-1
1.543909875E0,-3.389238417E-1,1.719733477E0,-2.616777420E-1
1.553853875E0,-5.297907591E-1,1.528931499E0,-1.949123293E-1
1.563798875E0,-7.461052537E-1,1.240442276E0,-7.588687539E-2
1.573743875E0,-8.703343868E-1,9.934665561E-1,6.136141717E-2
1.583687875E0,-8.162311912E-1,8.560348749E-1,1.493290812E-1
1.593632875E0,-6.129425168E-1,7.625239491E-1,1.952187866E-1
1.603577875E0,-3.582108915E-1,5.749753714E-1,2.156921029E-1
1.613521875E0,-2.266223580E-1,3.502632976E-1,2.594484985E-1
1.623466875E0,-2.360257208E-1,5.907645822E-2,3.435639143E-1
1.633411875E0,-2.631576955E-1,-3.873144090E-1,4.803161919E-1
1.643356875E0,-3.137111664E-1,-7.970486879E-1,5.979317427E-1
1.653300875E0,-3.577723205E-1,-1.098373890E0,6.643139124E-1
1.663245875E0,-3.575720489E-1,-1.260138392E0,6.713369489E-1
1.673190875E0,-3.900765479E-1,-1.178795934E0,6.000168920E-1
1.683134875E0,-4.550986886E-1,-8.168721795E-1,5.383961201E-1
1.693079875E0,-5.110558271E-1,-3.421632946E-1,4.789608717E-1
1.703024875E0,-5.605879426E-1,1.595490724E-1,4.959025681E-1
1.712968875E0,-6.421931982E-1,6.339074373E-1,5.025557280E-1
1.722913875E0,-5.427057743E-1,6.153063178E-1,6.426925659E-1
1.732858875E0,-3.141791224E-1,-2.903702855E-1,8.922545910E-1
1.742802875E0,-3.071688712E-1,-1.070888162E0,8.599627018E-1
1.752747875E0,-1.999222636E-1,-1.460616112E0,9.158082008E-1
1.762692875E0,-1.466506068E-2,-1.752544641E0,8.929476142E-1
1.772636875E0,9.409514070E-2,-1.708816290E0,8.538023233E-1
1.782581875E0,6.567735225E-2,-1.261787415E0,8.602522612E-1
1.792526875E0,-2.333987504E-2,-4.802506566E-1,7.672272325E-1
1.802470875E0,-7.781776041E-2,6.091193557E-1,6.076945662E-1
1.812415875E0,-1.447079927E-1,1.395148277E0,4.799034894E-1
1.822360125E0,-2.669036686E-1,1.474461675E0,4.843408465E-1
1.832305125E0,-1.268705279E-1,1.710181952E0,3.761788011E-1
1.842249125E0,4.868584871E-2,1.357496619E0,2.891166210E-1
1.852194125E0,1.620907038E-1,7.833984494E-1,2.688350379E-1
1.862139125E0,3.627755940E-1,5.774053931E-1,2.289499342E-1
1.872083125E0,5.205129981E-1,4.169049561E-1,2.166342437E-1
1.882028125E0,5.065436363E-1,2.048978955E-1,2.818204463E-1
1.891973125E0,4.273781180E-1,1.906136423E-2,3.890756369E-1
1.901917125E0,3.456297219E-1,-9.345213324E-2,4.663504660E-1
1.911862125E0,1.505139172E-1,-2.591337860E-1,5.547296405E-1
1.921807125E0,-6.731640548E-2,-2.885566652E-1,5.579416752E-1
1.931751125E0,-1.701420397E-1,-1.724609584E-1,4.279085100E-1
1.941696125E0,-1.949874759E-1,-4.067203775E-2,2.665630281E-1
1.951641125E0,-1.379648298E-1,2.146338969E-1,1.407628655E-1
1.961586125E0,-4.235121980E-2,3.951978385E-1,6.639142334E-2
1.971530125E0,4.351363704E-2,4.971302450E-1,6.207978725E-2
1.981475125E0,1.096516475E-1,5.918628573E-1,8.702002466E-2
1.991420125E0,6.566206366E-2,6.164950728E-1,1.434262842E-1
2.001364125E0,-5.792884529E-2,7.062651515E-1,1.931685507E-1
2.011309125E0,-2.306305319E-1,8.320775032E-1,2.100273967E-1
2.021254125E0,-4.109041393E-1,1.023453236E0,1.414688379E-1
2.031198125E0,-4.848542511E-1,1.331362247E0,4.462643340E-2
2.041143125E0,-5.544370413E-1,1.482645273E0,-4.368807189E-3
2.051088125E0,-7.312099934E-1,1.464272857E0,5.615537614E-2
2.061032125E0,-8.288294673E-1,1.524437904E0,1.114335433E-1
2.070977125E0,-6.467165947E-1,1.796959162E0,1.330253482E-2
2.080922125E0,-3.896078467E-1,2.082596302E0,-1.906870902E-1
