"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.209595958E0,1.081418872E0,5.557104945E-1,6.972500086E-1
1.219605958E0,9.709309340E-1,5.815017223E-1,6.090984941E-1
1.229584958E0,8.802380562E-1,5.021342039E-1,4.832313955E-1
1.239594958E0,8.758877516E-1,4.079380929E-1,3.770975173E-1
1.249573958E0,9.474713802E-1,3.011850119E-1,3.876292706E-1
1.259583958E0,1.007025242E0,1.895165592E-1,5.193436742E-1
1.269562958E0,1.082793355E0,2.440533638E-1,7.656263709E-1
1.279572958E0,1.116617918E0,4.877476990E-1,1.030469298E0
1.289582958E0,7.854630947E-1,7.554251552E-1,1.053939700E0
1.299561958E0,9.165940434E-2,1.055761695E0,8.010737896E-1
1.309571958E0,-4.872252643E-1,1.423854232E0,4.855813980E-1
1.319550958E0,-6.927008033E-1,1.902354717E0,3.468642533E-1
1.329560958E0,-5.037990808E-1,2.285028458E0,5.364259481E-1
1.339539958E0,-1.465928406E-1,2.360081434E0,8.050520420E-1
1.349549958E0,2.263793945E-1,2.047277689E0,1.168992281E0
1.359558958E0,4.954654872E-1,1.468903065E0,1.614901781E0
1.369538958E0,5.254715681E-1,9.287782311E-1,2.022262335E0
1.379547958E0,4.155483246E-1,7.874312401E-1,2.263530731E0
1.389527958E0,3.758009076E-1,1.089232922E0,2.385904074E0
1.399536958E0,4.406480193E-1,1.622820020E0,2.414623499E0
1.409546958E0,5.195084810E-1,2.219975710E0,2.318389177E0
1.419525958E0,5.207927823E-1,2.689909935E0,2.079925299E0
1.429535958E0,5.164268017E-1,3.087056398E0,1.813539147E0
1.439514958E0,6.450422406E-1,3.311502218E0,1.596435428E0
1.449524958E0,7.489222884E-1,2.661808252E0,1.526288271E0
1.459503958E0,4.065887034E-1,4.021590352E-1,1.410556436E0
1.469513958E0,-9.942522645E-2,-1.792338729E0,1.086181283E0
1.479523958E0,-2.733064592E-1,-8.655170798E-1,6.945519447E-1
1.489502958E0,-7.463581562E-1,-9.252387285E-1,3.079171181E-1
1.499482958E0,-1.105965137E0,-6.445329785E-1,4.473391920E-2
1.509461958E0,-1.233544469E0,-2.461992055E-1,-1.633559018E-1
1.519471958E0,-1.267895222E0,-2.697629035E-1,-4.801830649E-1
1.529481958E0,-1.394399285E0,-6.818673611E-1,-6.488671303E-1
1.539460958E0,-1.356711149E0,-5.562645197E-1,-5.831617117E-1
1.549470958E0,-1.193581581E0,-1.105272546E-1,-5.466920733E-1
1.559449958E0,-1.205410004E0,2.674363554E-1,-6.553769708E-1
1.569459958E0,-1.249723077E0,2.007726729E-1,-6.632100940E-1
1.579438958E0,-1.260387897E0,-3.082598448E-1,-4.561619163E-1
1.589448958E0,-1.278917909E0,-4.833957255E-1,-3.969390690E-1
1.599458958E0,-1.093957663E0,-5.062742233E-1,-3.065471351E-1
1.609437958E0,-7.254456282E-1,-3.709786534E-1,-7.804498821E-2
1.619447958E0,-4.407016039E-1,-6.509280950E-2,8.510243893E-2
1.629426958E0,-2.438450307E-1,1.315901577E-1,1.103271022E-1
1.639436958E0,-1.247734874E-1,2.348042578E-1,9.867094457E-2
1.649415958E0,-5.483852699E-3,1.930525452E-1,4.238290340E-2
1.659425958E0,1.141821668E-1,7.819879055E-2,-8.758284152E-3
1.669434958E0,2.188196331E-1,4.934823513E-2,-6.511529535E-2
1.679414958E0,1.940333247E-1,2.120871842E-1,-1.319513619E-1
1.689423958E0,2.995251305E-2,4.290258884E-1,-1.638115495E-1
1.699403958E0,-1.121425033E0,1.652819067E-1,-2.169222012E-2
1.709412958E0,-2.768986940E0,-1.218289375E0,-4.449740052E-2
1.719422958E0,-4.013810158E0,-1.238037944E0,-5.325680375E-1
1.729401958E0,-3.771846771E0,3.179643154E-1,-6.228933930E-1
1.739411958E0,-1.359974980E0,-1.136943623E-1,-1.228662431E-1
1.749390958E0,1.416915357E-1,1.079544127E-1,9.598140419E-2
1.759400958E0,6.993258595E-1,2.083434165E-1,3.919085488E-2
1.769379958E0,7.225659490E-1,1.943469197E-1,4.465726018E-2
1.779389958E0,5.198523998E-1,5.097104609E-2,6.852236390E-2
1.789399958E0,2.178075612E-1,1.887542754E-2,3.946407884E-2
1.799378958E0,-1.001098454E-1,8.987619728E-2,-1.357994322E-2
1.809388958E0,-2.828666270E-1,1.294113547E-1,-3.184762970E-2
1.819367958E0,-2.403846234E-1,4.380987957E-2,-2.220672742E-2
1.829377958E0,-8.650931716E-2,-4.448083416E-2,1.004308928E-2
1.839387958E0,2.859570831E-2,-8.317194134E-2,3.592311591E-2
1.849366958E0,8.421928436E-2,-5.016764998E-2,4.527507350E-2
1.859376958E0,8.228757977E-2,1.458718255E-2,4.590013623E-2
1.869355958E0,3.906740993E-2,6.849755347E-2,4.072667658E-2
1.879365958E0,-1.498053409E-2,7.923125476E-2,3.038724139E-2
1.889344958E0,-2.956560254E-2,5.491526052E-2,2.796057239E-2
1.899354958E0,-1.505525317E-2,2.676025033E-2,2.793978155E-2
1.909364958E0,6.712451577E-4,1.602051780E-2,2.410402894E-2
1.919343958E0,1.168219931E-2,1.284426171E-2,2.115566656E-2
1.929353958E0,1.237808354E-2,8.977085352E-3,2.005391754E-2
1.939332958E0,1.041438244E-2,-4.520684481E-3,2.126936615E-2
1.949342958E0,1.391963568E-2,-1.666789316E-2,2.622311190E-2
1.959321958E0,1.902655140E-2,-3.120824695E-2,3.017950058E-2
1.969331958E0,2.213446051E-2,-4.347716272E-2,3.889815509E-2
1.979340958E0,9.260661900E-3,-4.857626930E-2,4.347161204E-2
1.989320958E0,-5.755038001E-3,-4.036441073E-2,4.588869959E-2
1.999329958E0,-1.204508264E-2,-3.101606667E-2,4.220131412E-2
2.009309958E0,-1.679376513E-2,-2.589693666E-2,3.656500205E-2
2.019318958E0,-1.480198745E-2,-2.864974737E-2,3.448130563E-2
2.029328958E0,-9.728931822E-3,-3.698171303E-2,3.262854367E-2
2.039307958E0,-4.415470175E-3,-4.152911156E-2,3.132311255E-2
2.049317958E0,-1.264484599E-4,-3.701079264E-2,2.717204392E-2
2.059296958E0,1.083920710E-3,-2.676788718E-2,2.151305787E-2
2.069306958E0,5.453901831E-3,-1.798797771E-2,2.208164334E-2
2.079285958E0,4.262214527E-3,-1.571810991E-2,2.365605161E-2
2.089295958E0,-1.256121323E-3,-2.355898917E-2,2.521826327E-2
2.099305958E0,-4.195756279E-3,-3.916482255E-2,2.937652916E-2
2.109284958E0,-4.694299772E-3,-5.157035962E-2,2.738261968E-2
2.119294958E0,-9.673993103E-3,-5.714784563E-2,2.342069149E-2
2.129273958E0,-1.364583243E-2,-5.835266411E-2,2.281908318E-2
2.139283958E0,-1.409841608E-2,-6.249982864E-2,2.228270099E-2
2.149262958E0,-1.571309194E-2,-6.256028265E-2,2.114579640E-2
2.159272958E0,-2.044492215E-2,-6.553784758E-2,1.956204325E-2
2.169282958E0,-2.563089505E-2,-7.037201524E-2,1.802992634E-2
2.179261958E0,-2.500059828E-2,-8.346769959E-2,1.553425007E-2
2.189271958E0,-1.833763719E-2,-9.256692231E-2,1.520854514E-2
2.199250958E0,-1.421848778E-2,-1.079339162E-1,1.645063795E-2
2.209260958E0,-1.475751121E-2,-1.189543456E-1,1.994204149E-2
2.219270958E0,-1.182586700E-2,-1.150318012E-1,2.435090020E-2
2.229249958E0,-6.812199950E-3,-1.006816179E-1,2.293276787E-2
2.239259958E0,9.176637977E-4,-8.013226092E-2,2.334106341E-2
2.249238958E0,2.683872357E-3,-7.168657333E-2,2.870680019E-2
2.259248958E0,-4.644994624E-3,-7.660153508E-2,3.194012120E-2
2.269227958E0,-1.630884036E-2,-9.198927879E-2,2.591791376E-2
2.279237958E0,-2.054897323E-2,-9.395408630E-2,2.175541222E-2
2.289246958E0,-1.909835078E-2,-8.827223629E-2,1.601044089E-2
2.299226958E0,-1.363810897E-2,-7.517176121E-2,5.783868022E-3
2.309235958E0,-1.032273844E-2,-6.250017136E-2,3.013381502E-3
2.319215958E0,-1.068040263E-2,-6.109545380E-2,3.240854712E-3
2.329224958E0,-1.107401680E-2,-6.524971873E-2,4.879763816E-3
2.339234958E0,-1.498966478E-2,-6.663359702E-2,6.712856703E-3
2.349213958E0,-1.686053537E-2,-6.237227470E-2,8.191710338E-3
2.359223958E0,-1.539537683E-2,-5.508435890E-2,1.034938078E-2
2.369202958E0,-1.297989115E-2,-4.959771782E-2,1.274755783E-2
2.379212958E0,-6.242282689E-3,-4.604580253E-2,1.059407555E-2
2.389191958E0,-5.734777078E-4,-4.313097149E-2,9.760771878E-3
2.399201958E0,6.440440193E-4,-3.514810279E-2,8.380467072E-3
2.409211958E0,1.322350465E-3,-2.619189024E-2,1.058849320E-2
2.419190958E0,1.641852781E-3,-1.929505542E-2,1.027877908E-2
2.429200958E0,-5.688369274E-4,-1.593334973E-2,1.204365585E-2
2.439179958E0,6.218617782E-4,-1.390774827E-2,1.436300296E-2
2.449189958E0,3.567052074E-3,-1.031674165E-2,1.592548005E-2
2.459168958E0,6.037666462E-3,-8.697905578E-3,1.713486016E-2
2.469178958E0,7.239284925E-3,-1.160341501E-2,1.735590212E-2
2.479188958E0,1.004804578E-2,-1.095984690E-2,1.406660397E-2
2.489167958E0,9.685322642E-3,-9.295105003E-3,1.002578996E-2
2.499138083E0,5.662465468E-3,-1.035458129E-2,5.417971872E-3
2.509117083E0,5.212391261E-3,-1.297966018E-2,2.027768176E-3
2.519127083E0,2.884826623E-3,-1.531564258E-2,-1.101146452E-3
2.529137083E0,5.130670033E-3,-1.297099516E-2,-1.520061865E-3
2.539116083E0,4.169877153E-3,-1.253082138E-2,-6.301245652E-3
2.549126083E0,6.502273493E-3,-8.354718797E-3,-5.381124094E-3
2.559105083E0,8.834252134E-3,-5.932379514E-3,-3.588832915E-3
2.569115083E0,8.795902133E-3,-2.313409932E-3,-4.607225768E-3
2.579094083E0,3.702226095E-3,-1.709333155E-3,-3.642612137E-3
2.589104083E0,7.259942591E-3,-5.745601375E-4,-3.503062762E-3
2.599113083E0,8.083432913E-3,-2.901287982E-3,-1.864996739E-3
2.609093083E0,5.430391524E-3,-8.501915261E-3,1.686594915E-3
2.619102083E0,1.023229677E-2,-1.721638814E-2,8.014044724E-4
2.629082083E0,1.415300276E-2,-1.917141303E-2,-1.391175669E-3
2.639091083E0,1.688841358E-2,-1.333221514E-2,8.448031731E-4
2.649071083E0,1.576668955E-2,-1.146613713E-2,1.143609639E-3
2.659080083E0,1.182677038E-2,-1.687446237E-2,4.163373727E-3
2.669090083E0,9.616347030E-3,-2.343356051E-2,4.444071092E-3
2.679069083E0,8.218111470E-3,-2.857048437E-2,9.284909815E-3
2.689079083E0,6.448173895E-3,-3.453223780E-2,9.106745012E-3
2.699058083E0,8.627438918E-3,-3.765399382E-2,1.103221066E-2
2.709068083E0,9.130775928E-3,-4.165992141E-2,1.418912224E-2
2.719078083E0,9.018694982E-3,-4.697950557E-2,1.495766453E-2
2.729057083E0,1.093164366E-2,-4.786634073E-2,1.456538122E-2
2.739067083E0,1.372347400E-2,-4.407492280E-2,1.176376920E-2
2.749046083E0,1.345156506E-2,-4.676764458E-2,1.135071274E-2
2.759056083E0,1.265368238E-2,-5.134429038E-2,8.736020885E-3
2.769035083E0,9.192904457E-3,-5.478695780E-2,7.480341010E-3
2.779045083E0,9.160527028E-3,-5.495187640E-2,6.719458848E-3
2.789055083E0,7.209762000E-3,-5.338593945E-2,6.323713344E-3
2.799034083E0,2.247873694E-3,-4.876818508E-2,4.239545669E-3
2.809044083E0,-1.838589087E-4,-4.898496717E-2,3.550053341E-3
2.819023083E0,-2.325839363E-3,-4.555241764E-2,8.448166773E-5
2.829033083E0,-2.697350457E-3,-4.065859318E-2,8.996753022E-4
2.839043083E0,-6.596883759E-4,-3.190429881E-2,1.073568594E-3
2.849022083E0,1.115631312E-4,-2.923901007E-2,3.496512538E-3
2.859032083E0,1.846116967E-3,-2.919429168E-2,6.211599801E-3
2.869011083E0,-1.974985935E-3,-3.078472987E-2,9.298736230E-3
2.879021083E0,-6.812580861E-3,-3.456298262E-2,1.007317752E-2
2.889000083E0,-1.273624878E-2,-3.680669516E-2,8.655310608E-3
2.899010083E0,-1.234331913E-2,-3.476624936E-2,8.103487082E-3
2.909019083E0,-1.675857231E-2,-3.218564764E-2,6.701598875E-3
2.918999083E0,-1.139260735E-2,-2.555978298E-2,7.935220376E-3
2.929008083E0,-1.237717923E-2,-1.678200066E-2,8.937634528E-3
2.938988083E0,-1.154140290E-2,-8.183768019E-3,8.113640361E-3
2.948997083E0,-1.133953501E-2,-8.802488446E-5,4.632090218E-3
2.958977083E0,-1.092731673E-2,-3.599093761E-4,5.354611203E-3
2.968986083E0,-1.062930841E-2,-1.175877172E-2,4.777237773E-3
2.978996083E0,-8.960191160E-3,-1.782419160E-2,7.787392009E-3
2.988975083E0,-3.576877527E-3,-2.329272777E-2,7.945051417E-3
2.998985083E0,3.106528893E-4,-2.328624204E-2,7.786615752E-3
3.008964083E0,9.767537937E-3,-1.875300705E-2,5.771401804E-3
3.018974083E0,2.077552490E-2,-1.252685115E-2,2.678395016E-3
3.028984083E0,2.081866749E-2,8.883899078E-3,2.631740645E-4
3.038963083E0,1.542496681E-2,1.001590770E-2,4.317076877E-3
3.048973083E0,1.226672344E-2,1.057117712E-2,2.856333274E-3
3.058952083E0,2.844346222E-3,1.115528401E-3,3.485882189E-3
3.068962083E0,-2.720328979E-3,-5.278987810E-3,3.946608864E-3
3.078941083E0,-3.735868260E-3,-9.411267005E-3,2.992370632E-3
3.088951083E0,-6.677329540E-3,-9.287163615E-3,3.384387819E-3
3.098961083E0,-2.041983418E-3,9.237576742E-4,2.358294791E-3
3.108940083E0,8.517184295E-3,1.904949918E-2,-3.935287241E-3
3.118950083E0,1.579343528E-2,2.968575619E-2,-1.156794187E-2
3.128929083E0,1.327461749E-2,2.608676068E-2,-1.211548690E-2
3.138939083E0,-8.212794550E-3,1.018926129E-2,-3.527863882E-3
3.148918083E0,-1.943162456E-2,-2.073110268E-2,-3.388846293E-3
3.158928083E0,-1.843062043E-2,-4.607076570E-2,-2.789624035E-3
3.168938083E0,-1.276900526E-2,-4.306858405E-2,9.073759429E-4
3.178917083E0,-6.811590865E-3,-3.095142171E-2,7.122672629E-3
3.188927083E0,-9.629480541E-3,-2.794018388E-2,1.423144806E-2
3.198906083E0,-1.428898517E-2,-4.496414959E-2,2.259777486E-2
3.208916083E0,-2.159883082E-2,-6.787665933E-2,3.207489848E-2
3.218925083E0,-2.834039554E-2,-8.505295962E-2,3.131137788E-2
3.228905083E0,-2.357600257E-2,-8.451446891E-2,2.411791310E-2
3.238914083E0,-1.660411060E-2,-7.736627758E-2,1.427407004E-2
3.248894083E0,-6.812999956E-3,-4.044021666E-2,1.317312010E-2
3.258903083E0,8.961854503E-3,-3.383390978E-2,1.084952801E-2
3.268883083E0,1.326632127E-2,-3.594526276E-2,7.679567672E-3
3.278892083E0,1.145533472E-2,-4.953614995E-2,4.682451487E-3
3.288902083E0,-1.412526704E-3,-5.478816852E-2,1.221040916E-2
3.298881083E0,-1.901894994E-2,-5.032045022E-2,2.208008245E-2
3.308891083E0,-4.036311805E-2,-4.198954999E-2,3.727554902E-2
3.318870083E0,-6.267591566E-2,-4.120628908E-2,4.728185013E-2
3.328880083E0,-7.522100210E-2,-3.043646738E-2,5.116606876E-2
3.338890083E0,-5.935803801E-2,-1.456143521E-2,4.276351258E-2
3.348869083E0,-2.876071632E-2,-1.154017402E-3,3.079420328E-2
3.358879083E0,3.755147569E-3,6.629070733E-3,1.980972663E-2
3.368858083E0,2.622690052E-2,9.026181884E-3,6.035858765E-3
3.378868083E0,3.873154521E-2,1.124537084E-2,-4.576576408E-3
3.388847083E0,3.929906338E-2,4.776552785E-3,-5.873003509E-3
3.398857083E0,3.055514395E-2,-4.589275457E-3,-8.122045547E-4
3.408867083E0,1.320252009E-2,-1.252363157E-2,9.455346502E-3
3.418846083E0,-1.012976281E-3,-2.501833811E-2,1.255847327E-2
3.428856083E0,1.187860034E-3,-1.934527233E-2,9.797574021E-3
3.438835083E0,1.219272707E-2,-1.051938348E-2,1.299094781E-2
3.448845083E0,1.986449584E-2,-1.193259843E-3,2.164036222E-2
3.458824083E0,2.973919362E-2,1.007832587E-2,2.621354908E-2
3.468834083E0,3.356961533E-2,1.053372677E-2,3.445816413E-2
3.478844083E0,3.049024194E-2,1.507136319E-2,3.566513956E-2
3.488823083E0,3.792578727E-2,3.534521163E-2,1.924542151E-2
3.498833083E0,6.266838312E-2,6.013926119E-2,-3.695309162E-3
3.508799583E0,7.298333943E-2,6.067908183E-2,-1.703241840E-2
3.518809583E0,4.463778809E-2,1.567011699E-2,-3.244486637E-3
3.528818583E0,-4.733222537E-3,-4.988838360E-2,1.446287148E-2
3.538798583E0,-3.361874074E-2,-6.702348590E-2,2.030562982E-2
3.548807583E0,-3.736953810E-2,-4.540181160E-2,3.213459253E-2
3.558787583E0,-2.091618627E-2,-1.252060756E-2,4.395608604E-2
3.568796583E0,-5.002467893E-3,1.183486544E-3,4.497874156E-2
3.578776583E0,-8.206581697E-4,6.765159778E-4,3.912140802E-2
3.588785583E0,1.117140055E-4,-3.130858019E-2,2.934494428E-2
3.598795583E0,-4.087823443E-3,-5.813902989E-2,1.033020113E-2
3.608774583E0,-1.771406271E-3,-7.045934349E-2,-1.967211720E-3
3.618784583E0,2.306235023E-3,-6.444261223E-2,-3.538982011E-3
3.628763583E0,-3.842737526E-3,-4.970414937E-2,2.532759216E-3
3.638773583E0,-1.461568102E-2,-4.465207830E-2,7.018803619E-3
3.648752583E0,-2.448189259E-2,-5.536783859E-2,1.444130018E-2
3.658762583E0,-2.948307991E-2,-6.786176562E-2,1.943233609E-2
3.668772583E0,-2.757465839E-2,-6.924980879E-2,2.239909768E-2
3.678751583E0,-1.914971136E-2,-6.642688066E-2,2.821250632E-2
3.688761583E0,-7.372681051E-3,-6.224438548E-2,2.625401691E-2
3.698740583E0,4.741391633E-3,-6.587004662E-2,1.005433127E-2
3.708750583E0,1.301237103E-2,-6.303910166E-2,-7.075121626E-3
3.718760583E0,1.632317528E-2,-6.456763297E-2,-1.021954790E-2
3.728739583E0,1.012839656E-2,-8.173969388E-2,-5.043372512E-4
3.738749583E0,-3.475259058E-3,-9.419409186E-2,5.008705892E-3
3.748728583E0,-1.497345697E-2,-1.047545969E-1,1.155209262E-2
3.758738583E0,-1.208906155E-2,-8.596733958E-2,2.569900453E-2
3.768717583E0,-9.927349165E-4,-5.625551939E-2,2.412960306E-2
3.778727583E0,1.658515260E-2,-1.116348431E-2,2.205451205E-2
3.788737583E0,2.947565168E-2,2.555112168E-2,2.301857620E-2
3.798716583E0,4.096433893E-2,3.436550125E-2,2.395523898E-2
3.808726583E0,4.642701149E-2,2.196049877E-2,2.899393998E-2
3.818705583E0,3.592034802E-2,-2.189129964E-2,3.705448285E-2
3.828715583E0,2.560938895E-2,-5.908767134E-2,4.717449471E-2
