"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.715223000E0,-6.316864014E-2,-1.405577087E-1,-1.387614441E-1
1.725141000E0,-4.478686523E-1,-5.517675934E0,2.721790009E0
1.735059000E0,-4.490661621E-3,-7.229815521E0,4.317920837E0
1.744977000E0,8.512797546E-1,-8.508606262E0,3.054248657E0
1.754896000E0,1.013991394E0,-9.999655609E0,2.362836456E0
1.764814000E0,4.053570557E-1,-7.077133026E0,4.227209473E-1
1.774701000E0,-1.343605957E0,-1.946701813E0,-8.837622070E-1
1.784620000E0,-3.941154327E0,-5.327421570E0,3.740721130E0
1.794538000E0,4.139641571E0,-1.911450119E1,2.563868408E0
1.804456000E0,9.451794891E0,-2.345547409E1,4.927752686E-1
1.814374000E0,2.879861298E0,-3.737263321E1,1.005159760E0
1.824292000E0,-9.537716217E0,-3.216436386E1,7.410040741E0
1.834211000E0,-4.248614960E0,-1.795351547E1,5.360203400E0
1.844129000E0,1.835183716E0,-1.695179855E1,1.015787659E0
1.854047000E0,1.441951447E0,-1.237776031E1,-1.814526672E0
1.863935000E0,-2.026785278E-1,-1.140717865E1,-2.599344635E0
1.873853000E0,-5.674699402E-1,-1.110435837E1,-3.420686646E0
1.883771000E0,2.698288879E0,-1.122485779E1,-4.499942322E0
1.893689000E0,3.968996429E0,-1.034184402E1,-4.002826080E0
1.903608000E0,2.456242218E0,-8.954229584E0,-2.819237366E0
1.913526000E0,1.981429596E0,-7.713459778E0,-6.397695923E-1
1.923444000E0,-2.427951050E0,-8.390501862E0,2.004331970E-1
1.933362000E0,-3.494932251E0,-7.716303864E0,4.008663940E-1
1.943281000E0,-2.456541595E0,-7.371720428E0,9.517208862E-1
1.953199000E0,-1.583107910E0,-8.567882996E0,1.469494171E0
1.963117000E0,-1.132095795E0,-9.220825195E0,2.122586060E0
1.973035000E0,-1.002016296E0,-9.385482788E0,2.219734039E0
1.982923000E0,-1.180145874E0,-9.011859741E0,1.738634491E0
1.992841000E0,-1.282982025E0,-8.581055603E0,1.178499298E0
2.002759000E0,-1.108744354E0,-8.051905975E0,1.071621552E0
2.012678000E0,-1.158740387E0,-7.893535309E0,6.038442993E-1
2.022596000E0,-9.419911194E-1,-7.950417023E0,3.876937866E-1
2.032514000E0,-7.728428650E-1,-8.176446991E0,2.969824219E-1
2.042432000E0,-5.659730530E-1,-8.744365997E0,1.101708984E-1
2.052350000E0,-5.186714172E-1,-9.067693634E0,-2.878514099E-1
2.062269000E0,-6.394702148E-1,-9.479936371E0,-4.185296631E-1
2.072156000E0,-8.096662903E-1,-9.748927002E0,-5.219645691E-1
2.082074000E0,-7.593708801E-1,-9.886640625E0,-4.977149963E-1
2.091993000E0,-5.249583435E-1,-9.949060822E0,-2.056723022E-1
2.101911000E0,-2.231858826E-1,-9.835297394E0,2.344125366E-1
2.111829000E0,-1.369651794E-1,-9.343420258E0,5.123844910E-1
2.121747000E0,1.010398865E-1,-9.077124023E0,6.074368286E-1
2.131666000E0,4.251159668E-1,-9.027577057E0,6.878196716E-1
2.141584000E0,6.828799438E-1,-9.065897369E0,9.041198730E-1
2.151502000E0,9.259744263E-1,-9.029073944E0,1.265917511E0
2.161420000E0,1.245260468E0,-8.944200439E0,1.567989349E0
2.171308000E0,1.506766663E0,-8.758287048E0,1.610500946E0
2.181226000E0,1.506467285E0,-8.873996429E0,1.329684906E0
2.191144000E0,1.369801483E0,-9.050329742E0,9.849517822E-1
2.201063000E0,1.272354126E0,-9.033564606E0,6.890171814E-1
2.210981000E0,1.050515442E0,-9.176966400E0,5.447172546E-1
2.220899000E0,8.122109985E-1,-9.257947998E0,6.099815369E-1
2.230817000E0,5.020559692E-1,-9.203760681E0,9.144483948E-1
2.240735000E0,2.719844055E-1,-9.248367920E0,1.429826660E0
2.250654000E0,2.335144043E-1,-9.113498383E0,2.095342712E0
2.260572000E0,2.556683350E-1,-8.976233826E0,2.576891327E0
2.270490000E0,5.301974487E-1,-8.840615845E0,2.944377136E0
2.280378000E0,8.137078857E-1,-8.791817322E0,3.131488037E0
2.290296000E0,1.003812561E0,-8.738977203E0,2.993025970E0
2.300214000E0,1.429527283E0,-8.734336853E0,2.495011597E0
2.310132000E0,1.916614380E0,-8.892857208E0,1.693278809E0
2.320051000E0,2.167941742E0,-9.405990143E0,1.003363495E0
2.329969000E0,2.216740265E0,-9.881401520E0,8.421487427E-1
2.339887000E0,1.869911499E0,-9.969717865E0,1.177601166E0
2.349805000E0,1.507664795E0,-9.951306152E0,1.819017334E0
2.359723000E0,1.051263885E0,-9.924511871E0,2.316283264E0
