,Time (s),X (rad/s),Y (rad/s),Z (rad/s)
2447,24.50458012,0.7528939246999999,-0.7723314762000001,-0.3233898878
2448,24.51458712,0.9784711599,-0.7800474762999999,-0.2947480977
2449,24.52459412,1.065951109,-0.7965911627,-0.22825019059999999
2450,24.53460112,0.9800591469,-0.9224236607999999,-0.1527016312
2451,24.54460812,0.7601938844,-0.9354612231,-0.04960469902
2452,24.55461512,0.42278310659999996,-0.7081822157,0.09957998991
2453,24.56462213,-0.028681155289999996,-0.5098700522999999,0.17799805100000002
2454,24.57462912,-0.5054738522,-0.2638901472,0.27354961629999996
2455,24.58463612,-0.8944054842,0.09448233247000001,0.334946692
2456,24.59464312,-1.0884938240000002,0.3840228021,0.1905559599
2457,24.60465012,-1.070860624,0.4159885943,-0.20228222010000002
2458,24.61465712,-0.9593676329,0.08782031387,-0.5040625334000001
2459,24.62466412,-0.8915235995999999,-0.38912445310000005,-0.43241250509999996
2460,24.63467112,-0.8975538015000001,-0.6666623354,-0.2512949109
2461,24.64467812,-0.945253551,-0.7501686215000001,-0.07302922754999999
2462,24.65468512,-0.9538390636,-0.6727231145,0.0301480256
2463,24.66469212,-0.8616471291,-0.4431988895,0.07886758447
2464,24.67469912,-0.7546924948999999,-0.20186351239999997,0.09791450948
2465,24.68470612,-0.7237043977,-0.001722347224,0.1387943327
2466,24.69471313,-0.7370548248000001,0.11746130140000001,0.1848371923
2467,24.70472012,-0.7672368884,0.14568239449999998,0.1526750624
2468,24.71472712,-0.8542090654000001,0.08788114786000001,0.1425521076
2469,24.72473412,-0.9769814609999999,0.051529653370000005,0.2063408345
2470,24.73474112,-1.110037804,0.1306883842,0.28112187980000003
2471,24.74474812,-1.2050766940000002,0.2801377475,0.37634691600000003
2472,24.75475512,-1.198903799,0.4109356999,0.4618130922
2473,24.76476212,-1.06404388,0.46896702049999994,0.56315732
2474,24.77476912,-0.8835049272,0.4521521032,0.5916414261
2475,24.78477612,-0.6768140793,0.4257938266,0.587819159
2476,24.79478312,-0.5258080363000001,0.44519150259999996,0.5268272160999999
2477,24.80479012,-0.3902038932,0.4196708202,0.5288810134
2478,24.81479712,-0.2498518378,0.39823421840000006,0.5496321321000001
2479,24.824805,-0.0847312361,0.4866485894,0.5527942181000001
2480,24.834812,0.07816899568,0.642111659,0.5322442055
2481,24.844819,0.3036337495,0.87236619,0.5055887103
2482,24.854826,0.5685048103,1.136169791,0.4578230679
2483,24.864833,0.7660952209999999,1.3728296759999998,0.3874866664
2484,24.87484,0.9171438217,1.598501444,0.27787229420000004
2485,24.884847,0.9881722927,1.751355529,0.2030498832
2486,24.894854,0.8730204105,1.948345542,0.09666538239
2487,24.904861,0.5364489554999999,2.1963176730000002,0.050111126150000004
2488,24.914868,-0.009670061059,2.193861723,0.09177069366
2489,24.924875,-0.5676047206,1.778995395,0.18959379199999998
2490,24.934882,-0.8410426378,1.217971683,0.314055562
2491,24.944889,-0.8406306505,0.7554932833,0.4274101853
2492,24.954896,-0.6620792746999999,0.5409939885,0.4836084843
2493,24.964903,-0.4571540058,0.4940460324,0.5230695009
2494,24.97491,-0.3429403603,0.5225250721,0.5892658829999999
2495,24.984917,-0.3177044094,0.5983291267999999,0.6641317606
2496,24.994924,-0.3388046324,0.6216941476,0.764506042
