"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.236811625E0,3.352428589E0,3.020119629E0,7.901319122E0
1.246759625E0,3.094215546E0,3.014132080E0,7.840545502E0
1.256739625E0,2.719844055E0,3.300636292E0,7.529192963E0
1.266718625E0,1.884431305E0,3.991300049E0,7.048392792E0
1.276697625E0,1.485510864E0,4.540807343E0,6.801406403E0
1.286646625E0,1.394949188E0,4.905598755E0,6.490353241E0
1.296625625E0,1.610051880E0,5.147196350E0,6.167923737E0
1.306604625E0,1.820813599E0,5.029391327E0,6.084996185E0
1.316584625E0,1.997745667E0,4.683161316E0,6.058052216E0
1.326532625E0,2.948119354E0,3.932322693E0,6.069877625E0
1.336512625E0,4.295317841E0,2.952460327E0,6.566245422E0
1.346491625E0,4.899461517E0,2.359842682E0,6.851701813E0
1.356470625E0,4.849764862E0,2.081721039E0,6.804400177E0
1.366419625E0,4.973557434E0,2.065105591E0,6.490353241E0
1.376398625E0,5.869145050E0,1.866169281E0,6.275849304E0
1.386377625E0,7.037315826E0,1.549577637E0,6.877897339E0
1.396357625E0,7.563920746E0,1.732946320E0,7.958799591E0
1.406305625E0,7.264094238E0,1.880090332E0,8.940308533E0
1.416285625E0,6.626869354E0,1.831142120E0,9.371412048E0
1.426264625E0,6.643484802E0,1.757944336E0,1.041953247E1
1.436213625E0,6.872209167E0,1.743424530E0,1.174233170E1
1.446192625E0,7.147786102E0,1.744472351E0,1.312964676E1
1.456171625E0,7.027286682E0,1.914967804E0,1.410172531E1
1.466150625E0,6.585255890E0,2.152823181E0,1.464674194E1
1.476099625E0,5.818699951E0,2.339035950E0,1.512454834E1
1.486078625E0,5.210963745E0,2.449057159E0,1.550385956E1
1.496058625E0,4.702770538E0,2.495011597E0,1.533860321E1
1.506037625E0,4.225413208E0,2.572700043E0,1.469209763E1
1.515985625E0,3.799997864E0,2.791395264E0,1.372900040E1
1.525965625E0,3.719016266E0,3.006048889E0,1.266411484E1
1.535944625E0,3.635489960E0,3.286565552E0,1.160102554E1
1.545923625E0,3.498524780E0,3.536246338E0,1.079510147E1
1.555872625E0,3.360661469E0,3.697760468E0,1.010503647E1
1.565851625E0,3.112776947E0,3.731141052E0,9.680818634E0
1.575830625E0,2.688409424E0,3.584595795E0,9.585466919E0
1.585810625E0,2.202519836E0,3.542682953E0,9.664502563E0
1.595758625E0,1.781744843E0,3.459306335E0,9.823022919E0
1.605738625E0,1.687291260E0,3.298690338E0,9.828860779E0
1.615717625E0,1.989961853E0,3.228785706E0,9.643097076E0
1.625696625E0,2.172582092E0,3.348836060E0,9.318122864E0
1.635645625E0,2.155218201E0,3.410208435E0,9.056017914E0
1.645624625E0,2.284249878E0,3.407963104E0,8.486003265E0
1.655603625E0,2.331102448E0,3.393892365E0,7.966284027E0
1.665583625E0,2.448009338E0,3.334166565E0,7.536228333E0
1.675531625E0,2.539469147E0,3.286266174E0,7.311695251E0
1.685511625E0,2.542313232E0,2.999312897E0,7.102580109E0
1.695490625E0,2.492616577E0,2.831661530E0,6.904541931E0
1.705469625E0,2.368824005E0,2.690954132E0,6.466552734E0
1.715418625E0,2.548001404E0,2.382445679E0,5.966742096E0
1.725397625E0,3.027454376E0,2.132914581E0,5.922134857E0
1.735376625E0,3.266956329E0,2.060914307E0,5.982908478E0
1.745356625E0,2.960543518E0,1.918859711E0,5.726791077E0
1.755304625E0,2.692301331E0,1.586251373E0,5.303920441E0
